Mode,SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),LOI(WT%),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),ND143_ND14,SR87_SR86,PB206_PB20,PB207_PB20,PB208_PB20,Ba/Th,La (PM),Sm (PM),La/Sm (PM),Crustal Thickness
Flat,43.81,1.48,15.02,9.37,11.92,9.62,0.17,1.4,3.02,0.68,2,29.41853604,0.867916868,282.6659756,292.5930295,0.124641947,43.32812327,152.5886403,68.28923798,66.6684982,19.63276418,33.69586922,1112.686122,23.7253959,139.3,17.28181389,2.437554212,678.7273177,31.85133205,64.78664466,8.162244788,33.24057109,7.003522073,2.063269378,6.377646996,0.90237384,4.724103897,0.849417794,2.194904486,0.317739914,1.790122952,0.257126484,3.51,0.872927237,10.28640523,6.487694677,1.893656183,0.512816,0.703948,18.566,15.6,38.446,104.6176418,46.36292875,15.77369836,2.939255442,36.84000015
Flat,44.1,2.14,23.52,7.16,4.25,4.52,,0.57,4.35,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,47.08000183
Flat,44.48,3.44,15.92,,9.36,7.55,0.18,1.59,3.45,1.15,0.7,,,265,192,,51,129,37,,,39,896,31,329,75,,520,56,119,,,,,,,,,,,,,,,,,,,,,,,,756.9141194,0,,57.66999817
Flat,44.5,1.64,16.84,9.94,11.55,5.38,0.2,3.28,3.92,0.43,0.34,18.8,,284,37,,,17,122,100,,143.6,2612,35.5,541,31.3,2.3,2111,99.5,199.6,23.2,92.1,15.6,4.3,11.4,1.3,7,1.2,2.8,0.4,2.2,0.3,7.2,1.5,11.8,12.6,4.4,0.512876,0.704111,18.905,15.585,38.67,167.5396825,144.8326055,35.13513514,4.122158773,44
Flat,44.5,1.267,11.88,9.583,7.162,12.23,0.1338,1.113,2.084,0.2839,,29.218104,,241.9700092,,,,,45.98054344,,14.59864916,26.04177083,433.7289875,17.23403476,124.4872933,10.06994707,1.62284271,390.6612386,13.71094033,27.88654075,3.719361304,17.13694161,3.960013621,1.261517474,3.772762539,0.629718453,3.432936501,0.645669471,1.815641972,0.249668109,1.627003845,0.233717091,3.190203617,0.597816417,4.133394252,3.014048896,0.690054913,,,,,,129.6134376,19.95770063,8.918949597,2.237673889,48.58000183
Flat,44.7,1.323,14.18,9.907,9.835,9.899,0.1487,1.14,2.547,0.3438,,31.24428071,,246.819368,,,,,61.02561851,,16.35709501,25.14868525,615.5506451,20.87131884,133.8244442,11.30645877,1.176624083,392.6956753,17.87576907,35.24299133,4.764317408,21.28233614,4.987938682,1.498471523,4.765014048,0.76491015,4.14500491,0.794169008,2.138683206,0.305824732,1.943624151,0.296071779,3.413533455,0.693156283,5.712443742,3.430252803,0.982958307,,,,,,114.4800975,26.02004231,11.23409613,2.316166963,48.58000183
Flat,44.89,1.15,19.44,10.89,12.45,7.63,0.2,0.18,1.38,0.45,0.18,31.3,,318.8,89.2,,14.54,16.21,24.05,69.11,20.2,27.5,546.89,10.17,80.48,2.98,0.76,612.33,11.67,23.38,2.9,12.42,2.54,0.78,2.28,0.31,2.02,0.38,1,0.15,1.04,0.15,2.34,0.21,5.87,2.65,1.16,,,,,,231.0679245,16.98689956,5.720720721,2.969363546,50.5
Flat,44.9,1.63,14.39,10.01,10.01,10,0.18,1.49,2.97,0.74,2.1,23.26513674,0.957971207,221.0628467,356.277645,0.130626572,44.06905758,223.5396326,47.29794828,75.56564467,19.33731848,35.48569176,1146.9147,24.75591599,169.9042582,22.76350385,2.143208827,724.5315237,37.03518287,74.29814436,9.189406927,37.69152782,7.558101611,2.289820969,7.073242263,0.990375311,4.982538007,0.883535258,2.304468804,0.318136833,1.906576083,0.281974989,3.692460095,1.176800883,10.40617014,7.293093283,1.974778805,0.51282,0.703865,18.583,15.601,38.456,99.3448864,53.90856313,17.02275138,3.166853697,33.90999985
Flat,44.95,3.58,16.3,,9.33,7.36,0.18,1.37,3.73,0.98,0.4,,,277,169,,47,110,41,,,41,919,31,337,76,,541,58,126,,,,,,,,,,,,,,,,,,,,,,,,787.4818049,0,,57.66999817
Flat,44.96,1.33,15.14,10.38,11.85,10.95,0.18,1.35,2.57,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,37.16999817
